1	2	_	talkid	﻿ talkid : 2009	file://conllu/en/ted-mdb.2009.conllu#s1_0	
2	1	_	Kitra	Kitra Cahana :	file://conllu/en/ted-mdb.2009.conllu#s2_0	
3	2	_	glimpse	A glimpse of life on the road	file://conllu/en/ted-mdb.2009.conllu#s3_0	
4	8	as?	imagine	As a little girl , I always imagined I would one day run away .	file://conllu/en/ted-mdb.2009.conllu#s4_0	
5	9	_	keep	From the age of six on , I kept a packed bag with some clothes and cans of food tucked away in the back of a closet .	file://conllu/en/ted-mdb.2009.conllu#s5_0	
6	2	_	be	There was a deep restlessness in me , a primal fear that I would fall prey to a life of routine and boredom .	file://conllu/en/ted-mdb.2009.conllu#s6_0	
7	11	and?	daydream	And so , many of my early memories involved intricate daydreams where I would walk across borders , forage for berries , and meet all kinds of strange people living unconventional lives on the road .	file://conllu/en/ted-mdb.2009.conllu#s7_0	
8	3	_	pass	Years have passed , but many of the adventures I fantasized about as a child traveling and weaving my way between worlds other than my own — have become realities through my work as a documentary photographer .	file://conllu/en/ted-mdb.2009.conllu#s8_0	
9	6	but?	feel	But no other experience has felt as true to my childhood dreams as living amongst and documenting the lives of fellow wanderers across the United States .	file://conllu/en/ted-mdb.2009.conllu#s9_0	
10	2	and?	be (be dream)	This is the nomadic dream , a different kind of American dream lived by young hobos , travelers , hitchhikers , vagrants and tramps .	file://conllu/en/ted-mdb.2009.conllu#s10_0	
11	9	_	be (be creature)	In most of our minds , the vagabond is a creature from the past .	file://conllu/en/ted-mdb.2009.conllu#s11_0	
12	6	but?	conjure	The word &quot; hobo &quot; conjures up an old black and white image of a weathered old man covered in coal , legs dangling out of a boxcar , but these photographs are in color , and they portray a community swirling across the country , fiercely alive and creatively free , seeing sides of America that no one else gets to see .	file://conllu/en/ted-mdb.2009.conllu#s12_0	
13	8	_	travel	Like their predecessors , today 's nomads travel the steel and asphalt arteries of the United States .	file://conllu/en/ted-mdb.2009.conllu#s13_0	
14	5	_	hop	By day , they hop freight trains , stick out their thumbs , and ride the highways with anyone from truckers to soccer moms .	file://conllu/en/ted-mdb.2009.conllu#s14_0	
15	5	_	sleep	By night , they sleep beneath the stars , huddled together with their packs of dogs , cats and pet rats between their bodies .	file://conllu/en/ted-mdb.2009.conllu#s15_0	
16	3	_	take	Some travelers take to the road by choice , renouncing materialism , traditional jobs and university degrees in exchange for a glimmer of adventure .	file://conllu/en/ted-mdb.2009.conllu#s16_0	
17	2	_	come	Others come from the underbelly of society , never given a chance to mobilize upwards :	file://conllu/en/ted-mdb.2009.conllu#s17_0	
18	3	_	dropout	foster care dropouts , teenage runaways escaping abuse and unforgiving homes .	file://conllu/en/ted-mdb.2009.conllu#s18_0	
19	3	_	see (see view)	Where others see stories of privation and economic failure , travelers view their own existence through the prism of liberation and freedom .	file://conllu/en/ted-mdb.2009.conllu#s19_0	
20	4	rather?	live	They 'd rather live off of the excess of what they view as a wasteful consumer society than slave away at an unrealistic chance at the traditional American dream .	file://conllu/en/ted-mdb.2009.conllu#s20_0	
21	2	_	take	They take advantage of the fact that in the United States , up to 40 percent of all food ends up in the garbage by scavenging for perfectly good produce in dumpsters and trash cans .	file://conllu/en/ted-mdb.2009.conllu#s21_0	
22	2	and?	sacrifice	They sacrifice material comforts in exchange for the space and the time to explore a creative interior , to dream , to read , to work on music , art and writing .	file://conllu/en/ted-mdb.2009.conllu#s22_0	
23	3	but?	be	But there are many aspects to this life that are far from idyllic .	file://conllu/en/ted-mdb.2009.conllu#s23_0	
24	3	_	lose	No one loses their inner demons by taking to the road .	file://conllu/en/ted-mdb.2009.conllu#s24_0	
25	2	and?	be (be real)	Addiction is real , the elements are real , freight trains maim and kill , and anyone who has lived on the streets can attest to the exhaustive list of laws that criminalize homeless existence .	file://conllu/en/ted-mdb.2009.conllu#s25_0	
26	3	_	know	Who here knows that in many cities across the United States it is now illegal to sit on the sidewalk , to wrap oneself in a blanket , to sleep in your own car , to offer food to a stranger ?	file://conllu/en/ted-mdb.2009.conllu#s26_0	
27	9	because?	watch (watch know)	I know about these laws because I 've watched as friends and other travelers were hauled off to jail or received citations for committing these so called crimes .	file://conllu/en/ted-mdb.2009.conllu#s27_0	
28	6	_	wonder	Many of you might be wondering why anyone would choose a life like this , under the thumb of discriminatory laws , eating out of trash cans , sleeping under bridges , picking up seasonal jobs here and there .	file://conllu/en/ted-mdb.2009.conllu#s28_0	
29	7	but?	be (be vari)	The answer to such a question is as varied as the people that take to the road , but travelers often respond with a single word : freedom .	file://conllu/en/ted-mdb.2009.conllu#s29_0	
30	34	until?	be (be element)	Until we live in a society where every human is assured dignity in their labor so that they can work to live well , not only work to survive , there will always be an element of those who seek the open road as a means of escape , of liberation and , of course , of rebellion .	file://conllu/en/ted-mdb.2009.conllu#s30_0	
31	1	_	thank	Thank you .	file://conllu/en/ted-mdb.2009.conllu#s31_0	
