# text = talkid: 1927
talkid	other	indef-np.quant		
:				
1927			

# text = Chris McKnett:
Chris	other	ne	?OLD	
McKnett				
:			

# text = The investment logic for sustainability
The				
investment				
logic	other	def-np.the	?OLD	
for				
sustainability	other	indef-np.bare	

# text = The world is changing in some really profound ways, and I worry that investors aren't paying enough attention to some of the biggest drivers of change, especially when it comes to sustainability.
The				
world	SBJ	def-np.the	?OLD	
is				
changing				
in				
some				
really				
profound				
ways	other	indef-np.quant		
,				
and				
I	SBJ_2	pron.pper	?OLD	
worry				
that				
investors	SBJ_3	indef-np.bare		
are				
n't				
paying				
enough				
attention	OBJ_3	indef-np.bare		
to				
some				
of				
the				
biggest				
drivers	other_4	def-np.the	?OLD	
of				
change	other_5	indef-np.bare		
,				
especially				
when				
it	SBJ_2	pron.pper	?OLD	
comes				
to				
sustainability	other_2	indef-np.bare		
.			

# text = And by sustainability, I mean the really juicy things, like environmental and social issues and corporate governance.
And				
by				
sustainability	other	indef-np.bare		
,				
I	SBJ	pron.pper	?OLD	
mean				
the				
really				
juicy				
things	OBJ	def-np.the	?OLD	
,				
like				
environmental				
and				
social				
issues	other_2	indef-np.bare		
and				
corporate				
governance	other_3	indef-np.bare		
.			

# text = I think it's reckless to ignore these things, because doing so can jeopardize future long-term returns.
I	SBJ	pron.pper	?OLD	
think				
it	SBJ_2	pron.pper	?OLD	
's				
reckless				
to				
ignore				
these				
things	OBJ_3	def-np.dem	?OLD	
,				
because				
doing				
so				
can				
jeopardize				
future				
long				
_				
term				
returns	OBJ_4	indef-np.bare		
.			

# text = And here's something that may surprise you: the balance of power to really influence sustainability rests with institutional investors, the large investors like pension funds, foundations and endowments.
And				
here	other	pron.padv	?OLD	
's				
something	SBJ	pron	?OLD	
that	SBJ_3			
may				
surprise				
you	OBJ_3	pron.pper	?OLD	
:				
the				
balance	other_4	def-np.the	?OLD	
of				
power	other_5	indef-np.bare		
to				
really				
influence				
sustainability				
rests	OBJ_4	indef-np.bare		
with				
institutional				
investors	other_5	indef-np.bare		
,				
the				
large				
investors	other	def-np.the	?OLD	
like				
pension				
funds	other_2	indef-np.bare		
,				
foundations	other_3	indef-np.bare		
and				
endowments	other_3	indef-np.bare		
.			

# text = I believe that sustainable investing is less complicated than you think, better-performing than you believe, and more important than we can imagine.
I	SBJ	pron.pper	?OLD	
believe				
that				
sustainable				
investing	SBJ_2	indef-np.bare		
is				
less				
complicated				
than				
you	SBJ_3	pron.pper	?OLD	
think				
,				
better				
_				
performing				
than				
you	SBJ_5	pron.pper	?OLD	
believe				
,				
and				
more				
important				
than				
we	SBJ_6	pron.pper	?OLD	
can				
imagine				
.			

# text = Let me remind you what we already know.
Let				
me	OBJ	pron.pper	?OLD	
remind				
you	OBJ_2	pron.pper	?OLD	
what	OBJ_2	pron.pint		
we	SBJ_4	pron.pper	?OLD	
already				
know				
.			

# text = We have a population that's both growing and aging; we have seven billion souls today heading to 10 billion at the end of the century; we consume natural resources faster than they can be replenished; and the emissions that are mainly responsible for climate change just keep increasing.
We	SBJ	pron.pper	?OLD	
have				
a				
population	OBJ	indef-np.a		
that	SBJ_3			
's				
both				
growing				
and				
aging				
;				
we	SBJ_2	pron.pper	?OLD	
have				
seven				
billion				
souls	OBJ_2	indef-np.quant		
today				
heading	other_2	indef-np.bare		
to				
10				
billion				
at				
the				
end	other_2	def-np.the	?OLD	
of				
the				
century	other_3	def-np.the	?OLD	
;				
we	SBJ_2	pron.pper	?OLD	
consume				
natural				
resources	OBJ_2	indef-np.bare		
faster				
than				
they	SBJ_3	pron.pper	?OLD	
can				
be				
replenished				
;				
and				
the				
emissions	SBJ_2	def-np.the	?OLD	
that	SBJ_4			
are				
mainly				
responsible				
for				
climate				
change	other_4	indef-np.bare		
just				
keep				
increasing				
.			

# text = Now clearly, these are environmental and social issues, but that's not all.
Now				
clearly				
,				
these	SBJ	pron.pds	?OLD	
are				
environmental				
and				
social				
issues	other	indef-np.bare		
,				
but				
that	SBJ_2	pron.pds	?OLD	
's				
not				
all				
.			

# text = They're economic issues, and that makes them relevant to risk and return.
They	SBJ	pron.pper	?OLD	
're				
economic				
issues	other	indef-np.bare		
,				
and				
that	SBJ_2	pron.pds	?OLD	
makes				
them	OBJ_2	pron.pper	?OLD	
relevant				
to				
risk				
and				
return				
.			

# text = And they are really complex and they can seem really far off, that the temptation may be to do this: bury our heads in the sand and not think about it.
And				
they	SBJ	pron.pper	?OLD	
are				
really				
complex				
and				
they	SBJ_2	pron.pper	?OLD	
can				
seem				
really				
far				
off				
,				
that				
the				
temptation	SBJ_3	def-np.the	?OLD	
may				
be				
to				
do				
this	OBJ_4	pron.pds	?OLD	
:				
bury				
our	other_3	pron.ppos	?OLD	
heads	OBJ_2	def-np.poss	?OLD	
in				
the				
sand	other_2	def-np.the	?OLD	
and				
not				
think				
about				
it	other_3	pron.pper	?OLD	
.			

# text = Resist this, if you can.
Resist				
this	OBJ	pron.pds	?OLD	
,				
if				
you	SBJ_2	pron.pper	?OLD	
can				
.			

# text = Don't do this at home.
Do				
n't				
do				
this	OBJ	pron.pds	?OLD	
at				
home	other	indef-np.bare		
.			

# text = (Laughter)
(				
Laughter	other	ne	?OLD	
)			

# text = But it makes me wonder if the investment rules of today are fit for purpose tomorrow.
But				
it	SBJ	pron.pper	?OLD	
makes				
me	OBJ	pron.pper	?OLD	
wonder				
if				
the				
investment				
rules	SBJ_3	def-np.the	?OLD	
of				
today	other_4	indef-np.bare		
are				
fit				
for				
purpose	other_3	indef-np.bare		
tomorrow	other_3	indef-np.bare		
.			

# text = We know that investors, when they look at a company and decide whether to invest, they look at financial data, metrics like sales growth, cash flow, market share, valuation -- you know, the really sexy stuff.
We	SBJ	pron.pper	?OLD	
know				
that				
investors	SBJ_2	indef-np.bare		
,				
when				
they	SBJ_3	pron.pper	?OLD	
look				
at				
a				
company	other_3	indef-np.a		
and				
decide				
whether				
to				
invest				
,				
they	SBJ_2	pron.pper	?OLD	
look				
at				
financial				
data	other_2	indef-np.bare		
,				
metrics	OBJ_2	indef-np.bare		
like				
sales				
growth	other_3	indef-np.bare		
,				
cash				
flow	other_4	indef-np.bare		
,				
market				
share	other_4	indef-np.bare		
,				
valuation	other_4	indef-np.bare		
_				
you	SBJ_2	pron.pper	?OLD	
know				
,				
the				
really				
sexy				
stuff	OBJ	def-np.the	?OLD	
.			

# text = And these things are fundamental, of course, but they're not enough.
And				
these				
things	SBJ	def-np.dem	?OLD	
are				
fundamental				
,				
of				
course				
,				
but				
they	SBJ_2	pron.pper	?OLD	
're				
not				
enough				
.			

# text = Investors should also look at performance metrics in what we call ESG: environment, social and governance.
Investors	SBJ	indef-np.bare		
should				
also				
look				
at				
performance				
metrics	other	indef-np.bare		
in				
what	other	pron.pint		
we	SBJ_3	pron.pper	?OLD	
call				
ESG	OBJ_3	pron	?OLD	
:				
environment	other_4	indef-np.bare		
,				
social				
and				
governance	other_5	indef-np.bare		
.			

# text = Environment includes energy consumption, water availability, waste and pollution, just making efficient uses of resources.
Environment	SBJ	indef-np.bare		
includes				
energy				
consumption	OBJ	indef-np.bare		
,				
water				
availability	other_2	indef-np.bare		
,				
waste	other_2	indef-np.bare		
