# ID	TEXT	MARKER	TARGET	RELATION
1	Dave Troy : Soziale Kartografie – Überschneidung und Trennung in Städten	(zusammenfassend)	5	broad
2	Wenn wir über die Kartierung von Städten nachdenken , denken wir an Wege , Straßen und Gebäude und an die Stadtentwicklung , die zu diesem Ergebnis führte , oder Sie denken an die großen Visionen eines Städteplaners .	(im Allgemeinen)	3	set
3	Es gibt aber andere Arten , über die Kartierung von Städten nachzudenken und wie diese entstanden sind .	aber	2	contra-expectation
4	Heute möchte ich Ihnen eine neue Art Karte zeigen .	eine Art (speziell)	3	instance
5	Es ist keine geografische Karte , es ist eine Karte der Beziehungen zwischen den Menschen meiner Heimatstadt , Baltimore , Maryland .	(genauer gesagt)	4	specific
6	Sie können sehen , dass jeder Punkt eine Person darstellt , jede Linie eine Beziehung zwischen diesen Menschen und jede Farbe eine Gruppierung innerhalb dieses Netzwerkes .	(im Einzelnen)	5	specific
7	Ich bin hier auf der grünen Seite , unten , weit am rechten Rand , wo die Geeks sind .	ich (zum Beispiel)	6	instance
8	Auch TEDx ist unten , weit rechts .	auch 	7	similarity
9	( Lachen ) Auf der anderen Seite des Netzwerkes gibt es eher Afroamerikaner und Latinos , die um ganz andere Dinge besorgt sind als die Geeks .	auf der anderen Seite	8	contrast
10	Um Ihnen ein Gefühl zu geben , den grünen Teil des Netzwerkes nennen wir Klein-timore , da diese Leute , wie es scheint , in einer sehr kleinen Stadt wohnen .	(insgesamt)	7	broad
11	Wir sehen immer wieder die gleichen Leute , weil wir nicht die ganze Breite und Tiefe der Stadt erforschen .	(im Allgemeinen)	6	set
12	Auf der anderen Seite des Netzwerkes haben sie Menschen , die an Dingen wie Hip-Hop interessiert sind und sich eher mit dem Wohngebiet DC / Maryland / Virigina identifizieren , als mit der korrekten Stadtbezeichnung für Baltimore .	auf der anderen Seite	10	contrast
13	In der Mitte sehen Sie etwas , das die beiden Gruppierungen verbindet , und das ist Sport .	(außerdem)	12	Conjunction
14	Wir haben die Baltimore Orioles , die Baltimore Ravens [ Football ] den Olympioniken Michael Phelps , die Baltimore Firma Under Armour , die sie vielleicht kennen .	(zum Beispiel)	13	instance
15	Diese Sportverbundenheit fungiert als einzige Brücke zwischen den beiden Enden des Netzwerkes .	(nämlich)	13	restatement
